t,wall,phase,label,cmd1,cmd2,cb1,cb2,bs1,bs2,a1,a2,ba1,ba2,v_batt,v_int,v_5v,t_mcu,ff
0.955,2026-09-25T14:44:56.097,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.024,30.0,0.0
0.9652,2026-09-25T14:44:56.108,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.024,30.0,0.0
0.9753,2026-09-25T14:44:56.118,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.024,30.0,0.0
0.9854,2026-09-25T14:44:56.128,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.024,30.0,0.0
0.9955,2026-09-25T14:44:56.138,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.2,13.8,5.02,30.0,0.0
1.0057,2026-09-25T14:44:56.148,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.2,13.8,5.02,30.0,0.0
1.0159,2026-09-25T14:44:56.158,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.2,13.8,5.02,30.0,0.0
1.0261,2026-09-25T14:44:56.168,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.2,13.8,5.02,30.0,0.0
1.0362,2026-09-25T14:44:56.179,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.2,13.8,5.02,30.0,0.0
1.0463,2026-09-25T14:44:56.189,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.2,13.8,5.02,30.0,0.0
1.0564,2026-09-25T14:44:56.199,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.2,13.8,5.02,30.0,0.0
1.0666,2026-09-25T14:44:56.209,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.2,13.8,5.02,30.0,0.0
1.0767,2026-09-25T14:44:56.219,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.2,13.8,5.02,30.0,0.0
1.0869,2026-09-25T14:44:56.229,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.2,13.8,5.02,30.0,0.0
1.097,2026-09-25T14:44:56.239,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.2,13.8,5.02,30.0,0.0
1.1071,2026-09-25T14:44:56.249,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.2,13.8,5.02,30.0,0.0
1.1172,2026-09-25T14:44:56.260,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.2,13.8,5.02,30.0,0.0
1.1277,2026-09-25T14:44:56.270,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.2,13.8,5.02,30.0,0.0
1.1378,2026-09-25T14:44:56.280,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.015,30.0,0.0
1.1479,2026-09-25T14:44:56.290,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.015,30.0,0.0
1.158,2026-09-25T14:44:56.300,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.015,30.0,0.0
1.1682,2026-09-25T14:44:56.311,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.015,30.0,0.0
1.1783,2026-09-25T14:44:56.321,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.015,30.0,0.0
1.1885,2026-09-25T14:44:56.331,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.015,30.0,0.0
1.1986,2026-09-25T14:44:56.341,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.015,30.0,0.0
1.2087,2026-09-25T14:44:56.351,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.015,30.0,0.0
1.2188,2026-09-25T14:44:56.362,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.015,30.0,0.0
1.2294,2026-09-25T14:44:56.372,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.015,30.0,0.0
1.2395,2026-09-25T14:44:56.382,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.015,30.0,0.0
1.2497,2026-09-25T14:44:56.392,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.015,30.0,0.0
1.2599,2026-09-25T14:44:56.402,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.015,30.0,0.0
1.27,2026-09-25T14:44:56.412,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.015,30.0,0.0
1.2801,2026-09-25T14:44:56.422,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.021,30.0,0.0
1.2902,2026-09-25T14:44:56.433,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.021,30.0,0.0
1.3003,2026-09-25T14:44:56.443,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.021,30.0,0.0
1.3104,2026-09-25T14:44:56.453,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.021,30.0,0.0
1.3205,2026-09-25T14:44:56.463,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.021,30.0,0.0
1.3309,2026-09-25T14:44:56.473,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.021,30.0,0.0
