t,phase,cmd_lin,cmd_ang,odom_v,odom_w,filt_v,filt_w,imu_yaw,amcl_x,amcl_y,amcl_yaw,v_batt,a1,a2,ba1,ba2,rpm1,rpm2,ff
6.9313,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.2,0.0,0.0,-0.1,0.0,0.0,0.0,0
6.9815,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.2,0.0,0.0,-0.1,0.0,0.0,0.0,0
7.0322,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.2,0.0,0.0,-0.1,0.0,0.0,0.0,0
7.0826,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.2,0.0,0.0,-0.1,0.0,0.0,0.0,0
7.1331,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.2,0.0,0.0,-0.1,0.0,0.0,0.0,0
7.1834,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
7.2337,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
7.2846,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
7.3351,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
7.3857,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
7.4361,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
7.4863,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
7.5369,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
7.5874,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
7.6378,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
7.6882,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
7.7385,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
7.7892,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
7.8397,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
7.8901,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
7.9405,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
7.9908,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
8.0414,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
8.092,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
8.1425,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
8.193,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
8.2432,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
8.2941,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
8.3446,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
8.3952,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
8.4456,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
8.496,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
8.5467,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
8.5972,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
8.6476,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
8.6982,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.2,-0.1,0.0,-0.1,0.0,0.0,0.0,0
8.7485,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.2,-0.1,0.0,-0.1,0.0,0.0,0.0,0
8.7994,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.2,-0.1,0.0,-0.1,0.0,0.0,0.0,0
8.85,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.2,-0.1,0.0,-0.1,0.0,0.0,0.0,0
8.9007,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.2,-0.1,0.0,-0.1,0.0,0.0,0.0,0
8.9511,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
9.0015,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
9.0522,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
9.1027,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
9.1531,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
9.2036,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
9.2539,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
9.3047,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
